state_code,state_name_english,district_code,district_name_english,sub_district_code,sub_district_name_english
1,JAMMU AND KASHMIR,1,ANANTNAG,53,Pahalgam
1,JAMMU AND KASHMIR,1,ANANTNAG,54,Bijbehara
1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag
1,JAMMU AND KASHMIR,1,ANANTNAG,56,Shangus
1,JAMMU AND KASHMIR,1,ANANTNAG,57,Kokernag
1,JAMMU AND KASHMIR,1,ANANTNAG,58,Dooru
1,JAMMU AND KASHMIR,1,ANANTNAG,6816,Shahbad Bala
1,JAMMU AND KASHMIR,1,ANANTNAG,6817,Qazigund
1,JAMMU AND KASHMIR,1,ANANTNAG,6818,Sallar
1,JAMMU AND KASHMIR,1,ANANTNAG,6819,Srigufwara
1,JAMMU AND KASHMIR,1,ANANTNAG,6820,Larnoo
1,JAMMU AND KASHMIR,1,ANANTNAG,6822,Anantnag East
1,JAMMU AND KASHMIR,2,Budgam,4,Khag
1,JAMMU AND KASHMIR,2,Budgam,5,Beerwah
1,JAMMU AND KASHMIR,2,Budgam,6,Khansahib
1,JAMMU AND KASHMIR,2,Budgam,7,Budgam
1,JAMMU AND KASHMIR,2,Budgam,8,Chadoora
1,JAMMU AND KASHMIR,2,Budgam,9,Charar- E- Shrief
1,JAMMU AND KASHMIR,2,Budgam,6813,Narbal
1,JAMMU AND KASHMIR,2,Budgam,6814,Magam
1,JAMMU AND KASHMIR,2,Budgam,6815,BK Pora
1,JAMMU AND KASHMIR,3,BARAMULLA,32,Sopore
1,JAMMU AND KASHMIR,3,BARAMULLA,33,Rafiabad
1,JAMMU AND KASHMIR,3,BARAMULLA,34,Pattan
1,JAMMU AND KASHMIR,3,BARAMULLA,35,Baramulla
1,JAMMU AND KASHMIR,5,JAMMU,80,Ranbir Singh Pura
1,JAMMU AND KASHMIR,5,JAMMU,81,Bishnah
1,JAMMU AND KASHMIR,5,JAMMU,6701,Jourian
1,JAMMU AND KASHMIR,5,JAMMU,6702,Maira Mandrian
1,JAMMU AND KASHMIR,5,JAMMU,6703,Chowki Choura
1,JAMMU AND KASHMIR,5,JAMMU,6704,Kharah Balli
1,JAMMU AND KASHMIR,5,JAMMU,6705,Pargwal
1,JAMMU AND KASHMIR,5,JAMMU,6706,Jammu South
1,JAMMU AND KASHMIR,5,JAMMU,6707,Bahu
1,JAMMU AND KASHMIR,5,JAMMU,6708,Jammu North
1,JAMMU AND KASHMIR,5,JAMMU,6709,Bhalwal
1,JAMMU AND KASHMIR,5,JAMMU,6711,Nagrota
1,JAMMU AND KASHMIR,5,JAMMU,6712,Dansal
1,JAMMU AND KASHMIR,5,JAMMU,6713,Mandal
1,JAMMU AND KASHMIR,5,JAMMU,6714,Khour
1,JAMMU AND KASHMIR,5,JAMMU,6715,Marh
1,JAMMU AND KASHMIR,5,JAMMU,6716,Suchetgarh
1,JAMMU AND KASHMIR,5,JAMMU,6717,Arnia
1,JAMMU AND KASHMIR,5,JAMMU,6718,Jammu West
1,JAMMU AND KASHMIR,7,KATHUA,27,Billawar
1,JAMMU AND KASHMIR,7,KATHUA,28,Basohli
1,JAMMU AND KASHMIR,7,KATHUA,29,Bani
1,JAMMU AND KASHMIR,7,KATHUA,30,Kathua
1,JAMMU AND KASHMIR,624,SAMBA,6719,Rajpura
1,JAMMU AND KASHMIR,624,SAMBA,6720,Bari Brahamana
1,JAMMU AND KASHMIR,624,SAMBA,6721,Ghagwal
1,JAMMU AND KASHMIR,624,SAMBA,6722,Vijaypur
1,JAMMU AND KASHMIR,624,SAMBA,6724,Ramgarh
1,JAMMU AND KASHMIR,625,SHOPIAN,52,Shopian
